食材名,类别,味道,性质（寒热）,主要功效,常用季节,妈妈喜欢买吗,性质数值,采购概率
鸡,肉类,甜,平性,补气,四季,经常,0.0,1.0
排骨,肉类,甜,平性,补钙,四季,经常,0.0,1.0
羊肚菌,干货,淡,平性,补肾,四季,经常,0.0,1.0
玉米,蔬菜,甜,平性,祛湿,四季,经常,0.0,1.0
胡萝卜,蔬菜,甜,平性,健脾,四季,经常,0.0,1.0
白萝卜,蔬菜,甜,寒性,清热,四季,经常,0.0,1.0
山药,蔬菜,甜,平性,补脾,春季,经常,0.0,1.0
海马,药材,鲜,温性,补肾,春季,经常,0.0,1.0
海参,海鲜,鲜,温性,补肾,冬季,经常,0.0,1.0
天麻,药材,淡,平性,祛风止痛,四季,经常,0.0,1.0
太子参,药材,淡,平性,补气,四季,经常,0.0,1.0
西洋参,药材,淡,寒性,补气,四季,经常,0.0,1.0
黑豆,干货,淡,平性,补肾,夏季,经常,0.0,1.0
五指毛桃,药材,淡,平性,补肺,四季,经常,0.0,1.0
九节虾,海鲜,鲜,温性,补肾,冬季,经常,0.0,1.0
花甲,海鲜,鲜,寒性,滋阴润燥,冬季,经常,0.0,1.0
莲子,药材,淡,寒性,安神,四季,经常,0.0,1.0
陈皮,药材,淡,温性,健脾,冬季,经常,0.0,1.0
牛腩,肉类,甜,平性,补气,秋季,经常,0.0,1.0
土豆,蔬菜,甜,平性,健脾,四季,经常,0.0,1.0
